Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
34,Satin Stranger,Lakuno,http://www.spotontrack.com/track/satin-stranger/20607745,https://open.spotify.com/track/1hzb3Ay1i5iIkKEPG8A8cH,1hzb3Ay1i5iIkKEPG8A8cH,https://p.scdn.co/mp3-preview/8e0e2b26bec6b7cc6169bd4e8a74c2ce6a6b7590?cid=null,  118.98900000,  C#,  Minor,  64%,  87%,  16%,  8%,  24%,  4%,  9%
35,Blueprint,Ferry Corsten,http://www.spotontrack.com/track/blueprint/23779968,https://open.spotify.com/track/4d9IMB1ViLP3FTdVtHuivE,4d9IMB1ViLP3FTdVtHuivE,https://p.scdn.co/mp3-preview/4beda1aeb114f63f1688ee98489d6debed5f5d2d?cid=null,  129.98700000,  G,  Minor,  55%,  81%,  11%,  0%,  91%,  4%,  10%
36,Right Here,Keys N Krates,http://www.spotontrack.com/track/right-here/17722440,https://open.spotify.com/track/7MV6fzzx4G3Kw3rz9ZunAi,7MV6fzzx4G3Kw3rz9ZunAi,https://p.scdn.co/mp3-preview/8ea1cbcafa27a6b3ea7bf176c2de76fae05ebb0d?cid=null,  171.90800000,  F#,  Minor,  16%,  88%,  20%,  6%,  6%,  11%,  21%
37,Polaris,Various Artists,http://www.spotontrack.com/track/polaris/14012631,https://open.spotify.com/track/6Qng1hawspj0ddyexe0IHV,6Qng1hawspj0ddyexe0IHV,https://p.scdn.co/mp3-preview/2089091a97a88ef724c567dfd75edf5ef89c093d?cid=null,  128.01800000,  G,  Major,  67%,  79%,  3%,  4%,  88%,  5%,  10%
38,Best Thing About,Lex Luca,http://www.spotontrack.com/track/best-thing-about/6238351,https://open.spotify.com/track/22i5Q31W171TPRkoDvcmLn,22i5Q31W171TPRkoDvcmLn,https://p.scdn.co/mp3-preview/aa18376c030480b5fd4b1c42a559b5a6d8d61ff7?cid=null,  123.03600000,  C,  Minor,  73%,  93%,  71%,  2%,  38%,  8%,  92%
39,Help,Borgore,http://www.spotontrack.com/track/help/18941895,https://open.spotify.com/track/616gOf6tlTUHHM4bQ3hqKa,616gOf6tlTUHHM4bQ3hqKa,https://p.scdn.co/mp3-preview/c80a5bacfeb4ffadc7b40c50a62533abd67fc877?cid=null,  149.99500000,  C#,  Major,  71%,  88%,  58%,  7%,  0%,  35%,  8%
40,Flashwind - Radio Edit,Ben Remember,http://www.spotontrack.com/track/flashwind-radio-edit/1268817,https://open.spotify.com/track/46QjMu6JRrNz4yNtZtqGD3,46QjMu6JRrNz4yNtZtqGD3,https://p.scdn.co/mp3-preview/6d9c1c28c9193ff1d78e9aac0712470bd8e4e55a?cid=null,  122.00300000,  A,  Minor,  98%,  94%,  33%,  0%,  5%,  8%,  3%
41,I Need You (feat. Olaf Blackwood) - DubVision Remix,Armin van Buuren,http://www.spotontrack.com/track/i-need-you-feat-olaf-blackwood-dubvision-remix/22705045,https://open.spotify.com/track/3dN0wAkMTGZkm8YhXxOjsV,3dN0wAkMTGZkm8YhXxOjsV,https://p.scdn.co/mp3-preview/cdfca8ad611c6fb6d795518bdb91fb42e586acf0?cid=null,  117.09000000,  B,  Major,  41%,  83%,  33%,  1%,  0%,  6%,  32%
42,Sixes,D.O.D,http://www.spotontrack.com/track/sixes/9938100,https://open.spotify.com/track/1NQcFF1frcwdZZGhaMEYH4,1NQcFF1frcwdZZGhaMEYH4,https://p.scdn.co/mp3-preview/713a82b2110094fd8f34fd572c2897144c127621?cid=null,  126.01600000,  C,  Major,  73%,  100%,  71%,  0%,  24%,  7%,  6%
43,Mantra - Mat Zo Remix,Noisia,http://www.spotontrack.com/track/mantra-mat-zo-remix/16229255,https://open.spotify.com/track/7CLIzgAnyMkEODpvaCJ1h6,7CLIzgAnyMkEODpvaCJ1h6,https://p.scdn.co/mp3-preview/b376269c6a5ff8cfa09d92760bb499495163286e?cid=null,  171.92700000,  G#,  Major,  40%,  82%,  12%,  1%,  0%,  10%,  12%
44,Edge of the Sky,Ferry Corsten,http://www.spotontrack.com/track/edge-of-the-sky/23779980,https://open.spotify.com/track/4jJ91nvFdlGII37baqRt8r,4jJ91nvFdlGII37baqRt8r,https://p.scdn.co/mp3-preview/bac227d4d658f6482999683e3fc7657c2c4c2eb7?cid=null,  127.96300000,  C,  Minor,  47%,  89%,  4%,  0%,  1%,  5%,  9%
45,Ride It,Sebastian Ingrosso,http://www.spotontrack.com/track/ride-it/21912971,https://open.spotify.com/track/0mel7qfdSZODbHyEBJm5xN,0mel7qfdSZODbHyEBJm5xN,https://p.scdn.co/mp3-preview/d99256e751db68b5c06d0a443fd407e8f61f9028?cid=null,  140.08200000,  F#,  Minor,  73%,  91%,  42%,  2%,  0%,  9%,  14%
46,Make You Mine,Aire Atlantica,http://www.spotontrack.com/track/make-you-mine/17291058,https://open.spotify.com/track/1zxIRJSu7sUmz8Ea6Ka5oF,1zxIRJSu7sUmz8Ea6Ka5oF,https://p.scdn.co/mp3-preview/cbe0437eaf91a020f2a23425e1f3869701ef9c68?cid=null,  139.99800000,  D,  Minor,  74%,  82%,  53%,  28%,  0%,  7%,  10%
47,Good Life,Kiso,http://www.spotontrack.com/track/good-life/17725035,https://open.spotify.com/track/5tVgnZtHJS9JDKlte1plXm,5tVgnZtHJS9JDKlte1plXm,https://p.scdn.co/mp3-preview/1a7c1019611b8457f0f24a7fcf47aa5cb87d6b9f?cid=null,  162.03000000,  B,  Minor,  60%,  83%,  48%,  4%,  0%,  15%,  9%
48,Leaving Now,Noisestorm,http://www.spotontrack.com/track/leaving-now/437239,https://open.spotify.com/track/54GhIt6ohl4iEJvIRSq6fm,54GhIt6ohl4iEJvIRSq6fm,https://p.scdn.co/mp3-preview/3a44fd8daa32d446a3429caefcd6656c796bcf35?cid=null,  170.00100000,  B,  Major,  36%,  92%,  12%,  1%,  20%,  6%,  13%
49,Limitless (feat. Sophie Rose),Sam F,http://www.spotontrack.com/track/limitless-feat-sophie-rose/14944383,https://open.spotify.com/track/1iqWOhbj2huCgIbwoq5Jcq,1iqWOhbj2huCgIbwoq5Jcq,https://p.scdn.co/mp3-preview/638d2f13ccce34a11a563249034f0cbbf7c99888?cid=null,  156.00800000,  B,  Minor,  56%,  85%,  47%,  3%,  0%,  4%,  29%
50,BOOM,Tiësto,http://www.spotontrack.com/track/boom/19882855,https://open.spotify.com/track/7Mq3vRtwjRdDTxpQXrS8k6,7Mq3vRtwjRdDTxpQXrS8k6,https://p.scdn.co/mp3-preview/191fb79b7783b11a9fee0b145bd4f330bc361ba2?cid=null,  122.99500000,  D,  Major,  78%,  89%,  13%,  0%,  75%,  6%,  27%
