27,New Soul,Yael Naim,http://www.spotontrack.com/track/new-soul/23065699,https://open.spotify.com/track/476JcJ3TpAuCOlGdCmomGm,476JcJ3TpAuCOlGdCmomGm,https://p.scdn.co/mp3-preview/04957f904f625602ecca4cd71786fa74ead92263?cid=null,BPM:  100.00100000,Danceability:  77%, C, Major,Energy:  37%,Valence:  64%,Acousticness:  73%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
28,Just Kickin' It,Xscape,http://www.spotontrack.com/track/just-kickin-it/349750,https://open.spotify.com/track/2CG9mGkKC6IQE5lEjDioEi,2CG9mGkKC6IQE5lEjDioEi,https://p.scdn.co/mp3-preview/58dc9e3509717073addd8e084d4ba814aa8c688c?cid=null,BPM:  80.90200000,Danceability:  69%, C#, Minor,Energy:  35%,Valence:  72%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  58%
29,One Headlight,The Wallflowers,http://www.spotontrack.com/track/one-headlight/47616,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv,0z1b34WikhOH9ZxU8QDWcv,,BPM:  107.53300000,Danceability:  70%, D, Major,Energy:  56%,Valence:  72%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  7%
30,The Freshmen,The Verve Pipe,http://www.spotontrack.com/track/the-freshmen/457972,https://open.spotify.com/track/21jEuMn2lf37715rwjow2M,21jEuMn2lf37715rwjow2M,https://p.scdn.co/mp3-preview/c9969c47c9b699446d96d3c6b0d6b3be7a2cb542?cid=null,BPM:  99.56200000,Danceability:  57%, C#, Minor,Energy:  51%,Valence:  28%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  2%,Liveness:  11%
31,You Make Me Wanna...,Usher,http://www.spotontrack.com/track/you-make-me-wanna/130548,https://open.spotify.com/track/47TqCCnEliDp8NRDyIQoQq,47TqCCnEliDp8NRDyIQoQq,https://p.scdn.co/mp3-preview/eb361e93c1d270881719c6911214a03b4be80371?cid=null,BPM:  164.08800000,Danceability:  76%, F, Minor,Energy:  64%,Valence:  93%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  9%
32,Fast Car,Tracy Chapman,http://www.spotontrack.com/track/fast-car/2292,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,2M9ro2krNb7nr7HSprkEgo,https://p.scdn.co/mp3-preview/d7c7088e15ff83fd4352fa675f52e29986671b0c?cid=null,BPM:  103.95100000,Danceability:  71%, E, Minor,Energy:  29%,Valence:  19%,Acousticness:  31%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
33,Closing Time,Semisonic,http://www.spotontrack.com/track/closing-time/1142668,https://open.spotify.com/track/087OBLtoeS3Q6j0k6tMNAI,087OBLtoeS3Q6j0k6tMNAI,,BPM:  92.75700000,Danceability:  49%, G, Major,Energy:  87%,Valence:  27%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  16%
34,Under The Bridge,Red Hot Chili Peppers,http://www.spotontrack.com/track/under-the-bridge/281916,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,3d9DChrdc6BOeFsbrZ3Is0,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=null,BPM:  84.58100000,Danceability:  56%, E, Major,Energy:  35%,Valence:  47%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  14%
35,Latifah's Had It Up 2 Here - Single Version,Queen Latifah,http://www.spotontrack.com/track/latifah-s-had-it-up-2-here-single-version/1099958,https://open.spotify.com/track/28iPuUyxJWXEF5kFAV4fPO,28iPuUyxJWXEF5kFAV4fPO,,BPM:  100.85400000,Danceability:  82%, G, Major,Energy:  88%,Valence:  80%,Acousticness:  15%,Instrumentalness:  0%,Speechiness:  14%,Liveness:  34%
36,I Don't Want To Wait,Paula Cole,http://www.spotontrack.com/track/i-don-t-want-to-wait/2035114,https://open.spotify.com/track/5MDQNJ7SZTytJwCbWKqJDL,5MDQNJ7SZTytJwCbWKqJDL,https://p.scdn.co/mp3-preview/9176d1b2655061f4bab560b3c6149084358ffacb?cid=null,BPM:  177.50800000,Danceability:  41%, B, Major,Energy:  47%,Valence:  45%,Acousticness:  30%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  4%
