27,Break Apart,Bonobo,http://www.spotontrack.com/track/break-apart/6541984,https://open.spotify.com/track/0TPi90fJb75pg8BMGb33QF,0TPi90fJb75pg8BMGb33QF,https://p.scdn.co/mp3-preview/6b756a22e72c0d83b219412e75bd72a725266ff6?cid=null,BPM:  119.98400000,Danceability:  65%, F, Major,Energy:  46%,Valence:  8%,Acousticness:  86%,Instrumentalness:  13%,Speechiness:  3%,Liveness:  37%
28,Spirit Cold,Tall Heights,http://www.spotontrack.com/track/spirit-cold/1834905,https://open.spotify.com/track/1vG6jMgSoqT3zG9tuDrL2E,1vG6jMgSoqT3zG9tuDrL2E,https://p.scdn.co/mp3-preview/b8470d1a377c18d7f6f068184cf25b9603b24c18?cid=null,BPM:  78.24700000,Danceability:  43%, B, Major,Energy:  66%,Valence:  36%,Acousticness:  21%,Instrumentalness:  1%,Speechiness:  3%,Liveness:  18%
29,Plucky,Morly,http://www.spotontrack.com/track/plucky/248212,https://open.spotify.com/track/3EJWBUjdvBYuXEaqOhIapA,3EJWBUjdvBYuXEaqOhIapA,https://p.scdn.co/mp3-preview/f40d3c1744ee14c2d7792363823a7def927a6945?cid=null,BPM:  91.99100000,Danceability:  80%, C, Major,Energy:  36%,Valence:  14%,Acousticness:  62%,Instrumentalness:  21%,Speechiness:  5%,Liveness:  58%
30,Horizon,Aldous Harding,http://www.spotontrack.com/track/horizon/8633062,https://open.spotify.com/track/7sqxbAwB1tl6MfQXHhA2R5,7sqxbAwB1tl6MfQXHhA2R5,https://p.scdn.co/mp3-preview/d413d58ef52af26900af7f4a87fada9afe095b68?cid=null,BPM:  58.55500000,Danceability:  43%, G#, Major,Energy:  11%,Valence:  23%,Acousticness:  88%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
31,Tethered,Rationale,http://www.spotontrack.com/track/tethered/8633547,https://open.spotify.com/track/4knHKWetkNFiYHbsGqHljq,4knHKWetkNFiYHbsGqHljq,https://p.scdn.co/mp3-preview/f0599aaae7a3997cc60bc61ee8a367c7a2b70b1a?cid=null,BPM:  111.93400000,Danceability:  63%, C#, Minor,Energy:  43%,Valence:  18%,Acousticness:  75%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  14%
32,Light,Jon Bryant,http://www.spotontrack.com/track/light/37711,https://open.spotify.com/track/0kBrYzJBY54Skzm0gE3J50,0kBrYzJBY54Skzm0gE3J50,,BPM:  129.66300000,Danceability:  49%, A, Major,Energy:  37%,Valence:  12%,Acousticness:  56%,Instrumentalness:  1%,Speechiness:  3%,Liveness:  13%
33,Awake Me,Rosie Carney,http://www.spotontrack.com/track/awake-me/7337615,https://open.spotify.com/track/1MeVTXtqhNrYZpUj31eucF,1MeVTXtqhNrYZpUj31eucF,https://p.scdn.co/mp3-preview/e65da91cbf4810b80e56e2e5b43bb637ff9ef85a?cid=null,BPM:  117.17200000,Danceability:  52%, E, Major,Energy:  15%,Valence:  4%,Acousticness:  96%,Instrumentalness:  3%,Speechiness:  3%,Liveness:  8%
34,Here with Me,Susie Suh & Robot Koch,http://www.spotontrack.com/track/here-with-me/92242,https://open.spotify.com/track/6IF2P93LkyW4GqDQu1yS7H,6IF2P93LkyW4GqDQu1yS7H,https://p.scdn.co/mp3-preview/54b8b818ada7cd8f1639b887f21d8a0ac1d255dd?cid=null,BPM:  129.90900000,Danceability:  58%, C#, Minor,Energy:  38%,Valence:  11%,Acousticness:  70%,Instrumentalness:  6%,Speechiness:  3%,Liveness:  14%
35,The Wolf,LEØ,http://www.spotontrack.com/track/the-wolf/33847,https://open.spotify.com/track/3HMd3dLDhHC9JfS9I6X4LJ,3HMd3dLDhHC9JfS9I6X4LJ,https://p.scdn.co/mp3-preview/67c42e1ab61f99f54fa587618d0cfce964f0e8b8?cid=null,BPM:  165.99900000,Danceability:  50%, G, Minor,Energy:  30%,Valence:  4%,Acousticness:  78%,Instrumentalness:  41%,Speechiness:  3%,Liveness:  9%
36,Colder,Edwin Raphael,http://www.spotontrack.com/track/colder/10027553,https://open.spotify.com/track/50D5TdxfGvHOfNQnnKXanR,50D5TdxfGvHOfNQnnKXanR,https://p.scdn.co/mp3-preview/e0499141cc1605e163b185dc6ec2b90ea627e7ba?cid=null,BPM:  134.37200000,Danceability:  42%, F, Minor,Energy:  36%,Valence:  7%,Acousticness:  98%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
