1,Sunshine - The Knocks Remix,POWERS,http://www.spotontrack.com/track/sunshine-the-knocks-remix/2078913,https://open.spotify.com/track/24OV6VOjeJgjP0vmlbHika,24OV6VOjeJgjP0vmlbHika,,BPM:  120.00100000,Danceability:  67%, F, Minor,Energy:  95%,Valence:  28%,Acousticness:  2%,Instrumentalness:  18%,Speechiness:  13%,Liveness:  9%
48,Stay a Little Longer,Lostboycrow,http://www.spotontrack.com/track/stay-a-little-longer/3473485,https://open.spotify.com/track/1euQrkGwRPQod7kcddoeJ5,1euQrkGwRPQod7kcddoeJ5,https://p.scdn.co/mp3-preview/7349d0f993057486cf8f6f20c6f8f4a5588005a1?cid=null,BPM:  120.00700000,Danceability:  71%, C, Major,Energy:  70%,Valence:  46%,Acousticness:  15%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
49,Sing to You,John Splithoff,http://www.spotontrack.com/track/sing-to-you/321661,https://open.spotify.com/track/6UrZSKHenvGSok9muo1vvh,6UrZSKHenvGSok9muo1vvh,https://p.scdn.co/mp3-preview/ba28210b4279fad9a933fb4daf56f504a8cdcea9?cid=null,BPM:  152.05600000,Danceability:  75%, C#, Minor,Energy:  55%,Valence:  77%,Acousticness:  45%,Instrumentalness:  0%,Speechiness:  22%,Liveness:  17%
50,Stay,Chet Porter,http://www.spotontrack.com/track/stay/1838045,https://open.spotify.com/track/3xmhECNTS8KZQ7C6ye7JIK,3xmhECNTS8KZQ7C6ye7JIK,https://p.scdn.co/mp3-preview/8033d53c54e401b84060bca542262b0ae5425db0?cid=null,BPM:  80.02700000,Danceability:  23%, F#, Major,Energy:  47%,Valence:  25%,Acousticness:  48%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  6%
51,Mirage,Møme,http://www.spotontrack.com/track/mirage/355468,https://open.spotify.com/track/0F0vAwMKYkljxJdG9yaYsX,0F0vAwMKYkljxJdG9yaYsX,,BPM:  95.03900000,Danceability:  39%, E, Major,Energy:  58%,Valence:  12%,Acousticness:  6%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  14%
52,Say It (feat. Tove Lo) [Illenium Remix],Flume,http://www.spotontrack.com/track/say-it-feat-tove-lo-illenium-remix/7066136,https://open.spotify.com/track/1qcyw35R6PiMBYfSSK7gDm,1qcyw35R6PiMBYfSSK7gDm,https://p.scdn.co/mp3-preview/129fdc7870c9a2e0672df4c216ad177cf362d720?cid=null,BPM:  149.69000000,Danceability:  48%, F#, Major,Energy:  77%,Valence:  42%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  10%
53,Trouble,R3hab,http://www.spotontrack.com/track/trouble/7401055,https://open.spotify.com/track/3A2waEDfZQfl6RNOn8Y1xW,3A2waEDfZQfl6RNOn8Y1xW,https://p.scdn.co/mp3-preview/e1d905110dc697e0be0dca81b565f8026cc2a58b?cid=null,BPM:  94.92000000,Danceability:  74%, A, Minor,Energy:  60%,Valence:  56%,Acousticness:  18%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  15%
54,DGAF,Noah Slee,http://www.spotontrack.com/track/dgaf/15074611,https://open.spotify.com/track/4JU4oMSWyzHCiszqtsQptt,4JU4oMSWyzHCiszqtsQptt,https://p.scdn.co/mp3-preview/fd21e629686f93c0155d798c62b05ab360e67e93?cid=null,BPM:  134.16800000,Danceability:  80%, A, Minor,Energy:  52%,Valence:  25%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  8%
55,Light Outside,Absofacto,http://www.spotontrack.com/track/light-outside/9935235,https://open.spotify.com/track/7J4WtoGCdREmGQrSzPYuFe,7J4WtoGCdREmGQrSzPYuFe,https://p.scdn.co/mp3-preview/34d4aafa4ae8f3dd504a43b8989e4daf3634f64a?cid=null,BPM:  139.99300000,Danceability:  68%, D#, Major,Energy:  69%,Valence:  75%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
56,Issues,Julia Michaels,http://www.spotontrack.com/track/issues/7065922,https://open.spotify.com/track/6AeQlMyRzvSl1nkFztZyKl,6AeQlMyRzvSl1nkFztZyKl,,BPM:  113.96200000,Danceability:  70%, G#, Major,Energy:  42%,Valence:  45%,Acousticness:  42%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  6%
57,Our City (feat. Emilie Adams),TRXD,http://www.spotontrack.com/track/our-city-feat-emilie-adams/6999701,https://open.spotify.com/track/4MV8yeKSsls4xev14yDXL6,4MV8yeKSsls4xev14yDXL6,https://p.scdn.co/mp3-preview/0b5cf808bd53de0ed4e2cf6bf411e0d8d26b3284?cid=null,BPM:  87.53700000,Danceability:  73%, G#, Major,Energy:  89%,Valence:  50%,Acousticness:  13%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  9%
58,Roam,Theia,http://www.spotontrack.com/track/roam/2037759,https://open.spotify.com/track/497l7A8s1mEyDPl9zOYkST,497l7A8s1mEyDPl9zOYkST,https://p.scdn.co/mp3-preview/c6b72c42214f9ec61f65e88755d066f7cb30cbe1?cid=null,BPM:  99.94800000,Danceability:  60%, A, Minor,Energy:  64%,Valence:  39%,Acousticness:  8%,Instrumentalness:  3%,Speechiness:  3%,Liveness:  37%
59,Weak,AJR,http://www.spotontrack.com/track/weak/2147019,https://open.spotify.com/track/45iMRHmfLZu3yjdZ8P5e3t,45iMRHmfLZu3yjdZ8P5e3t,https://p.scdn.co/mp3-preview/9e2b34f1878d0a679853974a6413a364c25a697d?cid=null,BPM:  123.98400000,Danceability:  67%, F, Major,Energy:  64%,Valence:  66%,Acousticness:  13%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  14%
60,Aloha,Møme,http://www.spotontrack.com/track/aloha/695186,https://open.spotify.com/track/4uNDs2TBsv2KX9b4LIxfdt,4uNDs2TBsv2KX9b4LIxfdt,,BPM:  100.09500000,Danceability:  56%, A#, Minor,Energy:  71%,Valence:  44%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  15%,Liveness:  12%
61,Solo Dance,Martin Jensen,http://www.spotontrack.com/track/solo-dance/4231777,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa,3R6dPfF2yBO8mHySW1XDAa,https://p.scdn.co/mp3-preview/76414b590c5de583123c339afc983f9bd840634f?cid=null,BPM:  114.95500000,Danceability:  75%, A, Major,Energy:  85%,Valence:  42%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  20%
62,Now Or Never,Halsey,http://www.spotontrack.com/track/now-or-never/15781461,https://open.spotify.com/track/3Px934J0dBoCmpUhUuCQkD,3Px934J0dBoCmpUhUuCQkD,,BPM:  110.09100000,Danceability:  66%, F#, Minor,Energy:  58%,Valence:  49%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
63,History,Olivia Holt,http://www.spotontrack.com/track/history/2989987,https://open.spotify.com/track/3QmOiZF7IzJJkHnahh5Ea0,3QmOiZF7IzJJkHnahh5Ea0,,BPM:  100.96800000,Danceability:  77%, C#, Major,Energy:  63%,Valence:  50%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  11%
