31,Thumbs,Sabrina Carpenter,http://www.spotontrack.com/track/thumbs/3065247,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo,3UjJP4ludb74a29P5EHEIo,,BPM:  135.11800000,Danceability:  72%, G#, Major,Energy:  72%,Valence:  12%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  9%
32,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/7006170,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,0FE9t6xYkqWXU2ahLh6D8X,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,BPM:  95.97700000,Danceability:  83%, C#, Minor,Energy:  65%,Valence:  93%,Acousticness:  58%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  9%
33,I Love You,Axwell /\ Ingrosso,http://www.spotontrack.com/track/i-love-you/8633360,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE,11Fo4dAH31K7UZHGqCkCmE,,BPM:  114.87000000,Danceability:  65%, C, Major,Energy:  86%,Valence:  72%,Acousticness:  34%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  9%
34,Honeymoon Phase,TYSM,http://www.spotontrack.com/track/honeymoon-phase/7505302,https://open.spotify.com/track/5rsFG4QTT3FJsm2t7Wnr03,5rsFG4QTT3FJsm2t7Wnr03,https://p.scdn.co/mp3-preview/2e4f4b7ba8894fe483ef0d0902001ab38234f51c?cid=null,BPM:  196.09000000,Danceability:  65%, C, Major,Energy:  57%,Valence:  58%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  24%,Liveness:  21%
35,Cake,Various Artists,http://www.spotontrack.com/track/cake/6715027,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t,6t2ubAB4iSYOuIpRAOGd4t,https://p.scdn.co/mp3-preview/7602ae30452740cba0bf9521fb0ff1f57d4c9d39?cid=null,BPM:  104.54500000,Danceability:  53%, B, Minor,Energy:  86%,Valence:  63%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  11%
36,Oceans Away,A R I Z O N A,http://www.spotontrack.com/track/oceans-away/6545702,https://open.spotify.com/track/4NJpJ17Dgm5r4OYExFbxLk,4NJpJ17Dgm5r4OYExFbxLk,https://p.scdn.co/mp3-preview/cf347265b0ffeb90ab8890cbbf1d88daea20f5a2?cid=null,BPM:  105.94500000,Danceability:  63%, G#, Major,Energy:  65%,Valence:  22%,Acousticness:  14%,Instrumentalness:  10%,Speechiness:  3%,Liveness:  9%
37,Run Up,Major Lazer,http://www.spotontrack.com/track/run-up/7400989,https://open.spotify.com/track/0SujigeT7cxuxBfhN3eOcp,0SujigeT7cxuxBfhN3eOcp,https://p.scdn.co/mp3-preview/fe5cd71191a076e83c9bcb39dfe4f7df7bb1b616?cid=null,BPM:  108.00500000,Danceability:  80%, C#, Minor,Energy:  74%,Valence:  68%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  10%
38,That's What I Like,Bruno Mars,http://www.spotontrack.com/track/that-s-what-i-like/5576083,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=null,BPM:  134.06600000,Danceability:  85%, C#, Major,Energy:  56%,Valence:  85%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
39,Lot To Learn,Luke Christopher,http://www.spotontrack.com/track/lot-to-learn/7162,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,3TRFq09DUgYj1mug6RRqJW,https://p.scdn.co/mp3-preview/7a56116f6d0438e1ebdde2e4ba9f675ab13549ee?cid=null,BPM:  82.23200000,Danceability:  41%, F#, Major,Energy:  85%,Valence:  61%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  20%,Liveness:  7%
40,Taped Up Heart (feat. Clara Mae),KREAM,http://www.spotontrack.com/track/taped-up-heart-feat-clara-mae/3062940,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,26hcyzSE154xMZCbFdtInA,https://p.scdn.co/mp3-preview/47045048ee8c3732e14ab2d77cf4efd05097e3b5?cid=null,BPM:  103.96100000,Danceability:  68%, C, Minor,Energy:  94%,Valence:  57%,Acousticness:  15%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  15%
41,Records (feat. Hier),Y.V.E. 48,http://www.spotontrack.com/track/records-feat-hier/6900434,https://open.spotify.com/track/6p9xQKe8tfDWl8owpEHmnQ,6p9xQKe8tfDWl8owpEHmnQ,https://p.scdn.co/mp3-preview/f808e087477016b1312a31be9e7f76906a38c7ed?cid=null,BPM:  119.96800000,Danceability:  79%, A, Minor,Energy:  79%,Valence:  25%,Acousticness:  3%,Instrumentalness:  27%,Speechiness:  8%,Liveness:  47%
42,Lights Out (Too Drunk) [feat. Hayley],DJ Katch,http://www.spotontrack.com/track/lights-out-too-drunk-feat-hayley/6713020,https://open.spotify.com/track/5Oh3cW5gnEEKPsHb1WrVWm,5Oh3cW5gnEEKPsHb1WrVWm,https://p.scdn.co/mp3-preview/8b01243d971814e078539519ae02ca4fe946304b?cid=null,BPM:  115.95300000,Danceability:  74%, F#, Major,Energy:  70%,Valence:  69%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  11%
43,Dynamite (feat. Pretty Sister),Nause,http://www.spotontrack.com/track/dynamite-feat-pretty-sister/2036632,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,2Ae5awwKvQpTBKQHr1TYCg,https://p.scdn.co/mp3-preview/c777c15c9dcfb88022e338831def7fdc56de54c0?cid=null,BPM:  105.05500000,Danceability:  81%, A, Minor,Energy:  80%,Valence:  72%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  7%
44,Runaways,Sam Feldt,http://www.spotontrack.com/track/runaways/3703519,https://open.spotify.com/track/78u5zXt7t0vySly74lXMyP,78u5zXt7t0vySly74lXMyP,https://p.scdn.co/mp3-preview/4940c662db05b66f5a193877916c6d7ccb69861b?cid=null,BPM:  119.95900000,Danceability:  76%, B, Major,Energy:  57%,Valence:  66%,Acousticness:  17%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
45,Wrapped Up,Olly Murs,http://www.spotontrack.com/track/wrapped-up/706013,https://open.spotify.com/track/6wMeMFLaD4NCxXzkXgkuM1,6wMeMFLaD4NCxXzkXgkuM1,https://p.scdn.co/mp3-preview/30eedde89930188a464035ddd74d11e17a64e4af?cid=null,BPM:  122.02400000,Danceability:  79%, C#, Major,Energy:  85%,Valence:  93%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  10%
46,Talking to You,Izzy Bizu,http://www.spotontrack.com/track/talking-to-you/6544494,https://open.spotify.com/track/3N08HLCSwOHhMQKJGIZ7rE,3N08HLCSwOHhMQKJGIZ7rE,https://p.scdn.co/mp3-preview/65f95bb2a91afdd2c8e2eb6aa89ffb1ab2a74d88?cid=null,BPM:  126.93200000,Danceability:  76%, C, Major,Energy:  67%,Valence:  50%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  34%
47,Love On Me,Galantis,http://www.spotontrack.com/track/love-on-me/2183359,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,2MHCiOohBZEQuLgDTPvSzF,https://p.scdn.co/mp3-preview/c36a36a75a2df6dc2b0ad02366cda21d764defa3?cid=null,BPM:  124.14600000,Danceability:  56%, E, Major,Energy:  91%,Valence:  68%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  15%
